DeathDate,Sterbedatum
Cycad,Palmfarn
BoxingLeague,Box-Liga
AmericanFootballLeague,American-Football-Liga
MusicFestival,Musikfestival
Constellation,Sternbild
MedicalSpecialty,medizinisches_Spezialgebiet
Fern,farn
LaunchPad,Startrampe
SoftballLeague,Softball Liga
SpaceStation,Raumstation
TennisLeague,Tennisliga
AcademicJournal,Wissenschaftliche Fachzeitschrift
AdministrativeRegion,Verwaltungsregion
Aircraft,Flugzeug
Airport,Flughafen
Album,Album
AmericanFootballPlayer,American Footballspieler
AmusementParkAttraction,Vergnügungsparkattraktion
Anime,anime
Artist,Künstler
ArtistDiscography,Künstler Diskografie
Artwork,Kunstwerk
Asteroid,Asteroid
Automobile,Automobil
AutomobileEngine,Fahrzeugmotor
Award,Auszeichnung
Band,Musikgruppe
Bank,Bank
BaseballSeason,Baseballsaison
BasketballTeam,Basketballmannschaft
Beverage,Getränk
BodyOfWater,Gewässer
Book,Buch
Bridge,Brücke
Building,Gebäude
BusCompany,Busunternehmen
ChemicalCompound,chemische Verbindung
City,Stadt
CityDistrict,Stadtviertel
ClassicalMusicComposition,Komposition klassischer Musik
ComedyGroup,Komikergruppe
Comic,Comic
ComicsCharacter,Comic Charakter
Convention,Konvention
Criminal,Verbrecher
CultivatedVariety,Sorte ( kultivierte Sorte )
CyclingRace,Radrennen
CyclingTeam,Radsportteam
Device,Gerät
Disease,Krankheit
Drug,Droge
Earthquake,Erdbeben
Election,Wahl
Engine,Motor
Enzyme,Enzym
EthnicGroup,ethnie
EurovisionSongContestEntry,Vorentscheid Eurovision song contest
Event,Ereignis
Film,Film
FilmFestival,Filmfestival
Food,Lebensmittel
FootballLeagueSeason,Football Liga Saison
FootballMatch,Fußballspiel
Game,Spiel
GolfTournament,Golfturnier
GovernmentAgency,Behörde
GrandPrix,grosser Preis
HistoricBuilding,historisches Gebäude
HistoricPlace,historischer Ort
HockeyTeam,Hockeymannschaft
Holiday,Feiertag
HorseRace,Pferderennen
Hospital,Krankenhaus
Hotel,Hotel
HumanGene,Humangen
InformationAppliance,Datengerät
Insect,Insekt
Lake,See
Legislature,Legislative
Library,Bibliothek
Locomotive,Lokomotive
Magazine,Publikumszeitschrift
Manga,manga
MilitaryConflict,militärischer Konflikt
MilitaryStructure,militärisches Bauwerk
MilitaryUnit,Militäreinheit
Monument,Denkmal
MotorsportSeason,Motorsportsaison
Mountain,Berg
Museum,Museum
Musical,Musical
MusicalArtist,musikalischer Künstler
NCAATeamSeason,NCAA Team Saison
NationalFootballLeagueSeason,NFL Saison
Newspaper,Zeitung
Olympics,Olympiade
Organisation,Organisation
Park,Park
PersonFunction,Funktion einer Person
Philosopher,Philosoph
Planet,Planet
Plant,pflanze
Play,Theaterstück
PoliticalFunction,politische Funktion
PoliticalParty,politische Partei
Politician,Politiker
PowerStation,Kraftwerk
ProgrammingLanguage,Programmiersprache
ProtectedArea,Schutzgebiet
Protein,Protein
RacingDriver,Rennfahrer
RadioHost,Radiomoderator
RadioProgram,radio programm
RadioStation,Radiosender
RailwayLine,Eisenbahnlinie
RecordLabel,Plattenlabel
Religious,religiös
Reptile,reptil
ResearchProject,Forschungsprojekt
Restaurant,Restaurant
Road,Straße
RoadJunction,Straßenkreuzung
RollerCoaster,Achterbahn
Royalty,Königtum
RugbyClub,Rugby-Club
RugbyLeague,Rugby-Liga
RugbyPlayer,Rugbyspieler
Sales,Vertrieb
Settlement,Siedlung
Ship,Schiff
ShoppingMall,Einkaufszentrum
Single,Single
SoccerClub,Fußballverein
SoccerClubSeason,Fußballverein Saison
SoccerLeague,Fußball Liga
SoccerTournament,Fußballturnier
Song,lied
Sound,Lied
SpaceMission,Weltraummission
SportsEvent,Sportereignis
SportsLeague,Sportliga
SportsSeason,Sportsaison
SportsTeamMember,Sport Team Mitglied
Star,Stern
Station,Bahnhof
SupremeCourtOfTheUnitedStatesCase,Fall Oberster Gerichtshof der Vereinigten
TelevisionEpisode,Fernsehfolge
TelevisionSeason,Fernsehstaffel
TelevisionShow,Fernsehsendung
TelevisionStation,Fernsehsender
TennisTournament,Tennisturnier
Tenure,Amtszeit
Theatre,Theater
TopLevelDomain,top level domain
Town,Stadt
TradeUnion,Gewerkschaft
Train,Zug
University,Universität
Venue,Veranstaltungsort
VideoGame,Videospiel
Village,dorf
Weapon,Waffe
Website,Webseite
WomensTennisAssociationTournament,WTA Turnier
WrestlingEvent,Wrestling-Veranstaltung
Writer,schriftsteller
WrittenWork,geschriebenes Erzeugnis
Year,Jahr
YearInSpaceflight,Zeitraum Raumflug
Airline,Fluggesellschaft
BasketballLeague,Basketball-Liga
Country,Staat
FictionalCharacter,fiktiver Charakter
HandballLeague,Handball-Liga
IceHockeyLeague,Eishockey-Liga
MixedMartialArtsEvent,Mixed Kampfkunst Veranstaltung
MusicGenre,musik genre
ReligiousBuilding,religiöses Gebäude
RoadTunnel,Straßentunnel
Saint,Heilige
SpaceShuttle,Raumfähre
AmericanFootballTeam,American-Football-Team
Baronet,Baronet
BaseballTeam,Baseballmannschaft
Bird,Vogel
FieldHockeyLeague,Feldhockey-Liga
Novel,Roman
Pope,Papst
Ginkgo,ginkgo
BritishRoyalty,Britisches Königshaus
SnookerWorldRanking,Snookerweltrangliste
SolarEclipse,Sonnenfinsternis
CurlingLeague,Curling-Liga
Instrumentalist,Musiker
ArtificialSatellite,künstlicher Satellit
Monarch,monarch
MountainRange,Bergkette
OfficeHolder,Amtsinhaber
Spacecraft,Raumfahrzeug
Valley,tal
AcademicSubject,akademisches Fach
Agglomeration,Ballungsgebiet
Algorithm,Algorithmus
Altitude,Höhe
Annotation,Randglosse
Archeologist,Archäologe
ArcherPlayer,Bogenschütze
Archipelago,Archipel
Archive,Archiv
Area,Bereich
Aristocrat,Aristokrat
Arrondissement,arrondissement
Article,Artikle
ArtisticGenre,Kunstgattung
Athletics,Leichtathletik
AthleticsPlayer,Athlet
Atoll,Atoll
Attack,Angriff, Anschlag
BackScene,Backround-Chor
Beach,Strand
Beer,Bier
Biathlete,Biathlete
Biologist,Biologe
Blazon,Wappen
BoardGame,Brettspiel
BobsleighAthlete,Bobsportler
BrownDwarf,Brauner Zwerg
Browser,Browser
BullFighter,Stierkämpfer
Camera,Kamera
CanadianFootballTeam,kanadische Footballmannschaft
Canton,Kanton
Capital,Hauptstadt
CapitalOfRegion,Hauptstadt der Region
CardGame,Kartenspiel
CardinalDirection,Windrichtung
Casino,Kasino
Cat,Katze
Caterer,Partyservice
Cemetery,Friedhof
ChartsPlacements,Chartplatzierungen
ChemicalElement,chemisches Element
ChristianDoctrine,Christliche Lehre
Church,Kirche
ClericalOrder,klerikaler Orden
CoalPit,Kohlengrube
CollectionOfValuables,Kunst- und Wertsachenversammlung
Competition,Wettbewerb
Contest,Wettbewerb
ControlledDesignationOfOriginWine,kontrollierte Ursprungsbezeichnung für Qualitätsweine
ConveyorSystem,Fördersystem
CountrySeat,Landgut
CrossCountrySkier,Skilangläufer
CyclingCompetition,Radrennen
CyclingLeague,Rad-Liga
DTMRacer,DTM Rennfahrer
Deanery,Dekanat
Decoration,Auszeichnung
Demographics,Demografie
Depth,Tiefe
Deputy,Stellvertreter
Desert,Wüste
DigitalCamera,Digitalkamera
Diploma,Diplom
DisneyCharacter,Disneyfigur
District,Bezirk
DistrictWaterBoard,Bezirkwasserwirtschaftsamt
DocumentType,Dokumentenart
Dog,Hund
Drama,Drama
Egyptologist,Ägyptologe
ElectionDiagram,Wahldiagram
Employer,Arbeitgeber
EmployersOrganisation,Arbeitgeberverbände
Escalator,Rolltreppe
Factory,Fabrik
Family,Familie
Farmer,Bauer
Fencer,Fechter
File,Datei
FileSystem,Dateisystem
Flag,Flagge
Forest,Wald
FormulaOneRacing,Formel-1 Rennen
GatedCommunity,bewachte Wohnanlage / Siedlung
GeneLocation,Gen Lokation
GeologicalPeriod,geologische Periode
GeopoliticalOrganisation,geopolitische Organisation
Globularswarm,Kugelschwarm
GovernmentType,Regierungsform
GraveMonument,Grabdenkmal
GrossDomesticProduct,Bruttoinlandsprodukt
GrossDomesticProductPerCapita,Bruttoinlandsprodukt pro Kopf
Guitar,Gitarre
HighDiver,Turmspringer
HistoricalCountry,historischer Land
HistoricalDistrict,historischer Kreis / Bezirk
HistoricalPeriod,historische Periode
HistoricalProvince,historischer Provinz
HistoricalRegion,historischer Region
HistoricalSettlement,historischer Siedlung
HockeyClub,Hockeyverein
HotSpring,heiße Quelle
HumanGeneLocation,Humangen Lokation
Humorist,Humorist
Ideology,Ideologie
Instrument,musikinstrument
Intercommunality,Interkommunalität
InternationalFootballLeagueEvent,International Football Liga Veranstaltung
Law,Gesetz
Lawyer,Anwalt
Letter,Buchstabe
Lieutenant,Leutnant
LifeCycleEvent,Lebenszyklus Ereignis
LightNovel,Light novel
LineOfFashion,Modelinie
Linguist,Sprachwissenschaftler
Lipid,lipid
List,Liste
LiteraryGenre,Literaturgattung
Locality,Gegend
Lock,Schleuse
LunarCrater,Mondkrater
Man,Mann
Manhua,manhua
Manhwa,manhwa
Manor,Grundherrschaft
MathematicalConcept,mathematisches Konzept
Media,Medien
Medicine,Medizin
Meeting,Treffen
MemberResistanceMovement,Mitglied einer Widerstandorganisation
Memorial,Denkmal
MetroStation,U-Bahn Station
MicroRegion,Mikroregion
MilitaryAircraft,Militärmaschine
MilitaryVehicle,Militärfahrzeug
Mill,Mühle
Mine,Mine (Bergwerk)
Minister,Minister
MobilePhone,Mobiltelefon (Handy)
Monastery,Kloster
Mosque,Moschee
MotocycleRacer,Motorrad-Rennfahrer
MotorRace,Motorradrennen
MouseGeneLocation,Mausgenom Lokation
MovieDirector,Filmregisseur
MovieGenre,Filmgenre
MovingImage,Bewegtbilder
MovingWalkway,Rollsteig
MultiVolumePublication,mehrbändige Publikation
Murderer,Mörder
MusicComposer,Komponist
MusicDirector,Dirigent
NarutoCharacter,Naruto Charakter
NationalAnthem,Nationalhymne
NationalSoccerClub,nationaler Fußballverein
NaturalRegion,Naturraum
NobelPrize,Nobelpreis
NobleFamily,Adelsfamilie
NordicCombined,Nordischer Kombinierer
NuclearPowerStation,Kernkraftwerk
Ocean,Ozean
OldTerritory,alten Länder
OlympicResult,olympisches Ergebnis
On-SiteTransportation,Vorortbeförderungsmittel
Openswarm,Open Swarm
Opera,oper
Organ,Orgel
OverseasDepartment,Übersee-Departement
PaintballLeague,Paintball-Liga
Painting,Gemälde
Parish,Gemeinde
Parliament,Parlament
PenaltyShootOut,Elfmeterschießen
PeriodOfArtisticStyle,Kunst Zeitstil
PersonalEvent,Ereignis im persönlichen Leben
PhilosophicalConcept,philosophisch Konzept
PlayWright,Dramatiker
PoliticalConcept,politische Konzept
PoliticianSpouse,Ehepartner eines Politiker
Polysaccharide,Polysaccharide
Population,Bevölkerung
Port,Hafen
Prefecture,Präfektur
PrehistoricalPeriod,prähistorisch Zeitalter
Producer,Produzent
Profession,Beruf
Professor,Professor
Protocol,Protokoll
ProtohistoricalPeriod,proto-historisch Zeitalter
Province,Provinz
Psychologist,Psychologe
PublicService,öffentlicher Dienst
Pyramid,Pyramide
Quote,Zitat
RadioControlledRacingLeague,RC-Renn Liga
RallyDriver,Rallyefahrer
Rebellion,Aufstand
RecordOffice,Amtsarchiv
Referee,schiedsrichter
Reference,Referenz
Regency,Regentschaft
Reign,Regentschaft
ReligiousOrganisation,Religionsorganisation
RestArea,Rasthof
Resume,Lebenslauf
RocketEngine,Raketmotor
RomanEmperor,römischer Kaiser
RouteStop,Haltestelle
SambaSchool,Sambaschule
Satellite,Satellite
ScientificConcept,wissenschaftliche Theorie
Sculptor,Bildhauer
Sculpture,Skulptur
SerialKiller,Serienmörder
Shrine,schrein
Singer,Sänger
SkiResort,Skigebiet
Ski_jumper,Skispringer
SoccerLeagueSeason,Fußball-Liga Saison
SongWriter,Liedschreiber
SpeedSkater,Eisschnellläufer
Square,Platz
State,Staat
StatedResolution,Angenommen Beschluß
Statistic,statistisch
StillImage,Standbild
StormSurge,Sturmflut
Street,Straße
SubMunicipality,Teilgemeinde
Surfer,Surfer
Swarm,schwarm
Synagogue,Synagoge
SystemOfLaw,Rechtssystem
Tax,Steuer
Taxon,taxonomische Gruppe
TeamMember,Teammitglied
TelevisionDirector,TV-Regisseur
Temple,tempel
TermOfOffice,Amtsdauer
Territory,Territorium
TheatreDirector,Theaterdirektor
TheologicalConcept,Theologisch Konzept
TrackList,Titelliste
Tram,Straßenbahn
Treadmill,Tretmühle
Treaty,Vertrag
UndergroundJournal,Underground Zeitschrift
Unknown,unbekannt
Vicar,Pfarrer
VicePresident,Vizepräsident
Vodka,Wodka
WaterPoloPlayer,Wasserpolo Spieler
WaterTower,Wasserturm
Watermill,Wassermühle
WikimediaTemplate,Wikimedia-Vorlage
WindMotor,Windkraft
Windmill,Windmühle
Wine,Wein
Woman,Frauen
Zoo,Zoo
بائیتھلیٹ,Biathlete
بلیزن,Wappen
طبی_خصوصیت,طبی خصوصیت
قبرستان,Friedhof
مقامی_تھنگ,Objektraum
موٹر_سائیکل_ریسنگ_لیگ,Motorradrennen Liga
نیٹ_بال_کھلاڑی,نیٹ بال کھلاڑی
گرم_پانی_کاقدرتی_چشم,heiße Quelle
Location,Standort
BirthPlace,Geburtsort
DeathPlace,Sterbeort
Building,Gebäude
Parish,Gemeinde
Spokesperson,Sprecher
VehiclesInFleet,Fahrzeugtypen der Flotte
VicePrimeMinister,Vizeministerpräsident
FirstWin,erster Sieg
FirstWinner,erster Gewinner
LargestSettlement,größte Siedlung
LastWin,letzter Sieg
MostWins,die meisten Siege
RecentWinner,letzter Gewinner
RuralMunicipality,Landgemeinde
SubsequentInfrastructure,spätere Infrastruktur
Superintendent,Leiter
Anthem,Hymne
AutomobilePlatform,Automobilplattform
Breeder,Züchter
CareerStation,Karrierestation
Ceo,Geschäftsführer
Chef,Koch
Citizenship,Staatsangehörigkeit
College,College
County,Bezirk
Currency,Währung
Dam,Hirschkalb
Dean,Dekan
Diocese,Diözese
DoctoralAdvisor,Doktorvater
DoctoralStudent,Doktorand
Equipment,Ausrüstung
Father,Vater
FoundationPlace,Gründungsort
FuelSystem,Kraftstoffsystem
FuelType,Kraftstofftyp
Highschool,Gymnasium
Honours,Ehrungen
ImportantStation,wichtiger Verkehrsknotenpunkt
Institution,Institution
LanguageFamily,Familie
ManagerClub,Clubmanager
MilitaryService,service militaire
Minister,Minister
Mother,Mutter
Movement,Bewegung
Part,Teil
Partner,Partner
PersonFunction,Amt
Photographer,Fotograf
PictureFormat,Bildformat
Profession,Beruf
Race,Rennen
RailwayLineUsingTunnel,Tunnel benutzende Eisenbahnlinie
RailwayRollingStock,Operierende Schienenfahrzeuge
Relation,Beziehung
RivalSchool,Rivale
River,Fluss
RiverMouth,Flussmündung
RouteEndLocation,Ort des Wegendes
RouteStartLocation,Ort des Weganfangs
School,schule
SecretaryGeneral,Sekretärin
SignificantBuilding,bedeutendes Gebäude
Species,Spezies
Sport,Sport
Trainer,Trainer
AdministrativeCenter,Verwaltungszentrum
AdministrativeDistrict,Verwaltungsbezirk
Agency,Agentur
Alliance,Allianz
Alumni,Alumni
Archipelago,Archipel
AreaOfSearch,Suchgebiet
Canton,Kanton
Chairperson,Vorsitzender
Chancellor,Kanzler
ChiefEditor,Chefredakteur
Choreographer,Choreograph
Club,Verein
ConstructionMaterial,Baumaterial
CoolingSystem,Kühlsystem
CountryOrigin,Land Herkunft
CurrentPartner,aktueller Partner
Destination,Ziel
FederalState,Bundesland
FormerBroadcastNetwork,ehemalige Sendergruppe
FormerCoach,Ex-Trainer
FormerPartner,ehemaliger Partner
Inflow,Zufluss
LaunchSite,Startplatz
LeaderParty,Regierungspartei
Lieutenant,Leutnant
Management,Management
Manufactory,Fabrik
Mayor,Bürgermeister
MedicalCause,medizinische Ursache
Medication,Medikation
MilitaryRank,militärischer Rang
MusicSubgenre,Musik Subgenre
NationalTeam,Nationalmannschaft
NeighboringMunicipality,Nachbargemeinde
OilSystem,Ölsystem
Outflow,Abfluss
RaceHorse,Rennpferd
Rector,Rektor
SignificantDesign,bedeutendes Design
SignificantProject,bedeutendes Projekt
SportCountry,Sportnation
Symptom,Symptome
TelevisionSeries,Fernsehserie
Training,Ausbildung
Treatment,Behandlung
TwinTown,Partnerstadt
University,Universität
VariantOf,Variante oder Variation
VicePresident,Vizepräsident
BodyDiscovered,Leiche entdeckt
BronzeMedalist,Bronzemedaillengewinner
CommitteeInLegislature,Ausschuss in der Legislative
Curator,Kurator
FormerHighschool,ehemalige Highschool
GoldMedalist,Goldmedaillengewinner
Jockey,Jockey
NextEvent,nächste Veranstaltung
SilverMedalist,Silbermedaillengewinner
Comparable,vergleichbar
Focus,Fokus
Specialization,Spezialisierung
MajorShrine,bedeutender Schrein
MilitaryUnit,Militäreinheit
SpokenIn,gesprochen in
AddressInRoad,Adresse in Straße
Administrator,Verwalter
Artery,Arterie
Authority,Behörde
Binomial,Doppelbenennung
Border,Grenze
Department,Abteilung
FirstAscentPerson,Person , die zuerst einen Berg bestiegen hat
Gender,Geschlecht
Highest,höchster
IsPartOfAnatomicalStructure,ist ein Teil von anatomischer Struktur
LegalForm,Rechtsform
Legislature,Gesetzgeber
MedicalSpecialty,medizinisches Fachgebiet
Mission,Mission
Monarch,Monarch
Municipality,Gemeinde
Mythology,Mythologie
Nerve,Nerv
NobelLaureates,Nobelpreisträger
Opponent,Gegner
OtherParty,andere Partei
PlaceOfBurial,Ort der Bestattung
PrincipalArea,Hauptbereich
Saint,Heiliger
Selection,Auswahl
Specialist,Spezialist
TypeOfElectrification,Art der Elektrifizierung
Vein,Vene
ViceChancellor,Vizekanzler
WineRegion,Weinregion
AdministrativeCollectivity,Verwaltungsgemeinschaft
Battery,Batterie
Borough,Bezirk
EthnicGroup,ethnie
FirstRace,erstes Rennen
FormerChoreographer,ehemaliger Choreograph
HighestPlace,höchster Platz
IsPartOfWineRegion,ist ein Teil der Weinregion
Island,Insel
LastRace,letztes Rennen
Precursor,Vorläufer
RegionalLanguage,Regionalsprache
Sales,Vertrieb
Varietals,Rebsorten
AcademyAward,Academy Award
Achievement,Leistung
Activity,Aktivität
AgglomerationArea,Ballungsraum
AircraftUser,Flugzeugnutzer
Altitude,Höhe
Animal,Tier
ArchitectualBureau,Architekturbüro
AspectRatio,Seitenverhältnis
AstrologicalSign,Sternzeichen
Athletics,Leichtathletik
AthleticsDiscipline,Leichtathletikdisziplin
AttorneyGeneral,Generalstaatsanwalt
Aunt,Tante
Autonomy,Autonomie
AvailableSmartCard,benutzbare Chipkarte
BaftaAward,BAFTA Award
BiggestCity,größte Stadt
Bird,Vogel
BirthSign,Sternzeichen
BloodType,Blutgruppe
Boiler,Kessel
BoilerPressure,Kesseldruck
BoxerStyle,Boxstil
BritishComedyAwards,British Comedy Awards
Brother,Bruder
CapitalCountry,Hauptstadt Land
CapitalRegion,Hauptstadtregion
Cemetery,Friedhof
Chaplain,Kaplan
Climate,klima
CoProducer,Co-Produzent
CoatOfArms,bild wappen
Collaboration,Zusammenarbeit
CollectionSize,Land
Commandant,Kommandant
Commune,Kommune
Competition,Wettbewerb
CompetitionTitle,Sterbeort
Component,Komponente
Conflict,Konflikt
Connotation,Konnotation
Constellation,Sternbild
Construction,Konstruktion
Contest,Wettbewerb
Continent,Kontinent
Contractor,Auftragnehmer
Copilote,Copilot
Created,erstellt
Crest,Wappen
